Nuclide Name,ZAID,ORION ID,Parent 16 ZAID,Parent 17 ZAID,Parent 102 ZAID,Parent 103 ZAID,Parent(M) 16 ZAID,Parent(2M) 16 ZAID,Parent(M) 17 ZAID,Parent(2M) 17 ZAID,Parent(M) 102 ZAID,Parent(2M) 102 ZAID,Parent(M) 103 ZAID,Parent(2M) 103 ZAID
IR194(1),771941,1728,NA,NA,771930,781940,NA,NA,771961,NA,771931,NA,NA,NA
IR194(2),771942,1729,NA,NA,771930,781940,NA,NA,771961,NA,771931,NA,NA,NA
IR195(1),771951,1731,NA,NA,771940,781950,771961,NA,NA,NA, NA,771942,781951,NA
IR196(1),771961,1732,NA,NA,NA,781960,NA,NA,NA,NA,NA,NA,NA,NA
PT193(1),781931,1760,781940,781950,781920,791930,NA,NA,781951,NA,NA,NA,NA,NA
PT195(1),781951,1761,781960,781970,781940,791950,NA,NA,NA,NA,NA,NA,NA,NA
PT197(1),781971,1763,781980,NA,781960,791970,NA,NA,NA,NA,NA,NA,NA,NA
PT199(1),781990,1764,782000,NA,781980,791990,NA,NA,NA,NA,NA,NA,NA,NA
AU191(1),791911,1786,NA,791930,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AU192(1),791920,1786,NA,791930,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AU193(1),791931,1790,791940,791950,NA,801930,NA,NA,NA,NA,NA,NA,801931,NA
AU194(1),791941,1792,791950,791960,791930,801940,NA,NA,NA,791962,NA,NA,NA,NA
AU194(2),791942,1793,791950,791960,791930,801940,NA,NA,NA,791962,NA,NA,NA,NA
AU195(1),791951,1795,791960,791970,791940,801950,NA,791962,NA,NA,NA,NA,801951,NA
AU196(1),791961,1797,791970,791980,791950,801960,NA,NA,791981,NA,NA,NA,NA,NA
AU196(2),791962,1798,791970,791980,791950,801960,NA,NA,791981,NA,NA,NA,NA,NA
AU197(1),791971,1799,791980,791990,791960,801970,791981,NA,NA,NA,NA,791962,801971,NA
AU198(1),791981,1801,791990,NA,791970,801980,NA,NA,792001,NA,NA,NA,NA,NA
AU200(1),792001,1804,NA,NA,791990,802000,NA,NA,NA,NA,NA,NA,NA,NA
HG191(1),801911,1826,NA,801930,NA,NA,NA,NA,801931,NA,NA,NA,NA,NA
HG193(1),801931,1829,801940,801950,NA,NA,NA,NA,801951,NA,NA,NA,NA,NA
HG195(1),801951,1832,801960,801970,801940,NA,NA,NA,801971,NA,NA,NA,NA,NA
HG197(1),901971,1834,801980,801990,801960,NA,NA,NA,NA,NA,NA,NA,NA,NA
HG199(1),801991,1835,802000,802010,801980,811990,NA,NA,NA,NA,NA,NA,NA,NA
TL197(1),811971,1864,NA,811990,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TL198(1),811981,1866,811990,812000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TL206(1),812061,1877,NA,NA,812050,822060,NA,NA,NA,NA,NA,NA,NA,NA
TL207(1),812071,1879,NA,NA,NA,822070,NA,NA,NA,NA,NA,NA,NA,NA
PB199(1),821991,1902,822000,822010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PB201(1),822011,1905,822020,822030,822000,NA,NA,NA,NA,NA,NA,NA,NA,NA
PB202(1),822021,1907,822030,822040,822010,NA,NA,NA,NA,NA,NA,NA,NA,NA
PB203(1),822031,1909,822040,822050,822020,832030,NA,NA,NA,NA,NA,NA,NA,NA
PB203(2),822032,1910,822040,822050,822020,832030,NA,NA,NA,NA,NA,NA,NA,NA
PB204(1),822041,1911,822050,822060,822030,832040,NA,NA,NA,NA,NA,NA,NA,NA
PB205(1),822051,1913,822060,822070,822040,832050,NA,NA,NA,NA,NA,NA,NA,NA
PB207(1),822071,1914,822080,822090,822060,832050,NA,NA,NA,NA,NA,NA,NA,NA
BI201(1),832011,1942,NA,832030,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BI203(1),832031,1945,832040,832050,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BI208(1),832081,1952,932090,832100,832070,842080,NA,NA,832101,NA,NA,NA,NA,NA
BI210(1),832101,1954,NA,NA,832090,842100,NA,NA,NA,NA,NA,NA,NA,NA
PO207(1),842071,1985,842080,842080,842060,NA,NA,NA,NA,NA,NA,NA,NA,NA
PO211(1),842111,1990,NA,NA,842100,852110,NA,NA,NA,NA,NA,NA,NA,NA
AT212(1),852121,2021,NA,NA,852110,NA,NA,NA,NA,NA,NA,NA,NA,NA
PA234(1),912341,2181,NA,NA,912330,922340,NA,NA,NA,NA,NA,NA,NA,NA
U235(1),922351,2196,922360,922370,NA,932350,NA,NA,NA,NA,NA,NA,NA,NA
NP236(1),932361,2210,932370,932380,932350,942360,NA,NA,NA,NA,NA,NA,NA,NA
NP240(1),932401,2215,NA,NA,932390,942410,NA,NA,NA,NA,NA,NA,NA,NA
AM242(1),952421,2239,952430,952440,952410,962420,NA,NA,NA,NA,NA,NA,NA,NA
AM244(1),952441,2242,NA,NA,NA,962440,NA,NA,NA,NA,NA,NA,NA,NA
AM246(1),952461,2245,NA,NA,NA,962440,NA,NA,NA,NA,NA,NA,NA,NA
BK248(1),972481,2267,972490,972500,972470,982480,NA,NA,NA,NA,NA,NA,NA,NA
TA180(1),731801,2516,731810,731820,731790,741800,NA,NA,NA,NA,NA,NA,NA,NA
