Nuclide Name,ZAID,ORION ID,Parent 16 ZAID,Parent 17 ZAID,Parent 102 ZAID,Parent 103 ZAID,Parent(M) 16 ZAID,Parent(2M) 16 ZAID,Parent(M) 17 ZAID,Parent(2M) 17 ZAID,Parent(M) 102 ZAID,Parent(2M) 102 ZAID,Parent(M) 103 ZAID,Parent(2M) 103 ZAID
GE71(1),320711,313,320720,320730,320700,330710,NA,NA,NA,NA,NA,NA,NA,NA
GE73(1),320731,314,320740,NA,320740,330730,NA,NA,NA,NA,NA,NA,NA,NA
GE75(1),320751,316,320760,320770,320740,330750,NA,NA,NA,NA,NA,NA,NA,NA
GE77(1),320771,318,NA,NA,320760,330770,NA,NA,NA,NA,NA,NA,NA,NA
AS82(1),330821,347,NA,NA,NA,340820,NA,NA,NA,NA,NA,NA,NA,NA
SE73(1),340731,360,340760,340770,340720,NA,NA,NA,NA,NA,NA,NA,NA,NA
SE77(1),340771,362,340780,340790,340760,350770,NA,NA,NA,NA,NA,NA,NA,NA
SE79(1),340791,364,340800,NA,340780,350790,NA,NA,NA,NA,NA,NA,NA,NA
SE81(1),340811,366,340820,NA,340800,350810,NA,NA,NA,NA,NA,NA,NA,NA
SE83(1),340831,369,NA,NA,340820,NA,NA,NA,NA,NA,NA,NA,NA,NA
BR74(1),350741,383,NA,350760,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BR76(1),350761,386,350770,NA,NA,350760,NA,NA,NA,NA,NA,NA,NA,NA
BR77(1),350771,388,NA,350790,350760,NA,NA,NA,NA,NA,NA,NA,NA,NA
BR79(1),350791,390,NA,350810,NA,360790,NA,NA,NA,NA,NA,NA,NA,NA
BR80(1),350801,392,350810,350820,350790,360800,NA,NA,NA,NA,NA,NA,NA,NA
BR82(1),350821,394,NA,NA,350810,360830,NA,NA,NA,NA,NA,NA,NA,NA
BR84(1),350841,397,NA,NA,NA,360840,NA,NA,NA,NA,NA,NA,NA,NA
KR79(1),360791,416,360800,360810,360780,NA,NA,NA,NA,NA,NA,NA,NA,NA
KR81(1),360811,418,360820,360830,360800,NA,NA,NA,NA,NA,NA,NA,NA,NA
KR83(1),360831,419,360840,360850,360820,370850,NA,NA,NA,NA,NA,NA,NA,NA
KR85(1),360851,421,360860,NA,360840,370850,NA,NA,NA,NA,NA,NA,NA,NA
RB81(1),370811,440,370821,370830,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RB82(1),370821,442,370830,370840,NA,380820,NA,NA,NA,NA,NA,NA,NA,NA
RB84(1),370841,445,370850,370860,370830,380860,NA,NA,NA,NA,NA,NA,NA,NA
RB86(1),370861,447,370870,NA,370850,380860,NA,NA,NA,NA,NA,NA,NA,NA
RB90(1),370910,452,NA,NA,NA,380910,NA,NA,NA,NA,NA,NA,NA,NA
SR83(1),380831,471,380840,380850,380820,NA,NA,NA,NA,NA,NA,NA,NA,NA
SR85(1),380851,473,380860,380870,380840,NA,NA,NA,NA,NA,NA,NA,NA,NA
SR87(1),380871,474,380880,380890,380860,390970,NA,NA,NA,NA,NA,NA,390871,NA
Y84(1),390841,495,NA,390860,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Y85(1),390851,497,390860,390870,NA,NA,NA,NA,390871,NA,NA,NA,NA,NA
Y86(1),390861,499,390870,390880,NA,400860,390871,NA,NA,NA,NA,NA,NA,NA
Y87(1),390871,501,390880,390890,390860,NA,NA,NA,NA,NA,NA,NA,NA,NA
Y89(1),390891,503,390900,390910,390880,400890,NA,NA,NA,NA,NA,NA,NA,NA
Y90(1),390910,506,NA,390910,390900,400900,NA,NA,NA,NA,NA,NA,NA,NA
Y91(1),390911,507,NA,390930,390910,400910,NA,NA,NA,NA,NA,NA,NA,NA
Y93(1),390931,510,NA,NA,NA,400930,NA,NA,NA,NA,NA,NA,NA,NA
Y96(1),390961,514,NA,NA,NA,400960,NA,NA,NA,NA,NA,NA,NA,NA
